City,Area,Property_Type,Size_sqft,Bedrooms,Bathrooms,Age_Years,Facing,Highway_Distance_m,Price
Lucknow,Hazratganj,House,3414,2,2,1,North-East,4885,18639570
Lucknow,Gomti Nagar,Plot,1040,0,0,0,East,2087,6823942
Gorakhpur,Rustampur,Flat,1422,3,3,23,North,3736,5442979
Lucknow,Indira Nagar,Flat,2632,5,5,24,South,2398,14949699
Kanpur,Swaroop Nagar,Flat,4454,5,5,23,West,679,19573245
Noida,Greater Noida,Plot,2004,0,0,0,North-East,1360,15041369
Kanpur,Arya Nagar,Flat,3920,1,1,11,South,2977,12955793
Noida,Sector 150,House,2014,3,3,5,North,2241,18389756
Lucknow,Hazratganj,Flat,4408,3,3,11,South,2802,28518400
Noida,Greater Noida,House,1846,3,3,18,West,4008,11886571
Banaras,Sigra,Plot,2987,0,0,0,South,364,17398186
Kanpur,Kidwai Nagar,House,1886,5,5,11,North-East,1738,8809600
Kanpur,Swaroop Nagar,Flat,4265,5,5,19,South,4530,14204235
Kanpur,Kidwai Nagar,House,3728,4,4,6,South,2104,15051698
Gorakhpur,Medical Road,Flat,2976,4,4,0,West,328,14721275
Noida,Sector 150,Flat,1561,5,5,6,North,859,16540026
Kanpur,Kidwai Nagar,Flat,2988,3,3,16,East,964,12573392
Banaras,Sarnath,House,1712,2,2,14,North-East,1124,9522614
Lucknow,Gomti Nagar,Flat,3262,2,2,23,West,836,23455969
Lucknow,Indira Nagar,Plot,1804,0,0,0,North,1165,10376509
Lucknow,Gomti Nagar,House,3688,1,1,2,North,4120,21023646
Gorakhpur,Taramandal,Plot,3560,0,0,0,South,2324,17770976
Kanpur,Arya Nagar,House,2662,5,5,4,South,4662,9553724
Gorakhpur,Rustampur,Flat,3889,4,4,4,North-East,4206,13627102
Kanpur,Swaroop Nagar,Flat,2373,1,1,22,West,1058,8978137
Kanpur,Swaroop Nagar,House,3672,2,2,4,North-East,3427,12939087
Lucknow,Indira Nagar,Flat,974,3,3,11,North,2614,6121805
Gorakhpur,Medical Road,House,998,2,2,9,West,2413,4387895
Noida,Sector 62,Plot,4028,0,0,0,West,449,33574460
Noida,Greater Noida,Plot,3809,0,0,0,North,708,31133600
Gorakhpur,Medical Road,Plot,4971,0,0,0,North-East,2675,18613389
Gorakhpur,Taramandal,House,3185,5,5,2,South,2760,17341697
Kanpur,Swaroop Nagar,Flat,4061,2,2,11,South,4609,11966164
Kanpur,Kidwai Nagar,Flat,4892,4,4,1,North-East,2357,18411514
Banaras,Lanka,Plot,4637,0,0,0,North-East,4297,24202158
Gorakhpur,Shahpur,Flat,2117,4,4,4,North,1537,10242898
Kanpur,Swaroop Nagar,Flat,2663,3,3,10,West,3670,9583630
Noida,Sector 62,Plot,4486,0,0,0,West,4429,26612826
Lucknow,Gomti Nagar,Flat,1836,1,1,23,North,4740,9795049
Lucknow,Gomti Nagar,Flat,4305,5,5,10,East,4202,24820882
Gorakhpur,Taramandal,Plot,702,0,0,0,North-East,599,3995305
Noida,Sector 62,Flat,1347,3,3,11,North,813,11866881
Banaras,Sarnath,Plot,857,0,0,0,East,2866,3929792
Noida,Sector 150,Flat,4945,1,1,21,South,1244,45521326
Banaras,Sigra,Flat,3128,4,4,24,South,4348,14125521
Noida,Sector 150,Plot,4334,0,0,0,North-East,1946,38251775
Gorakhpur,Rustampur,Flat,1299,3,3,17,East,3443,5368268
Banaras,Lanka,House,962,2,2,19,South,2989,6104429
Noida,Greater Noida,Flat,3425,4,4,16,West,4311,21376880
Noida,Greater Noida,Flat,1457,1,1,16,East,139,12625809
Kanpur,Arya Nagar,Flat,688,5,5,2,West,973,4967379
Noida,Greater Noida,Flat,3052,2,2,6,West,2887,21090832
Banaras,Sigra,Plot,2492,0,0,0,East,1240,13017216
Lucknow,Hazratganj,Plot,3035,0,0,0,North-East,1721,21184964
Kanpur,Kidwai Nagar,Flat,3386,2,2,8,North,1280,13835988
Lucknow,Indira Nagar,Flat,653,5,5,3,North-East,3082,5212001
Lucknow,Hazratganj,House,2091,2,2,2,North-East,2171,14323113
Kanpur,Kidwai Nagar,House,3754,4,4,19,East,2336,14667353
Kanpur,Arya Nagar,Plot,1095,0,0,0,East,1346,4258506
Banaras,Sarnath,Flat,2026,1,1,23,East,4336,8317682
Gorakhpur,Shahpur,House,2659,2,2,5,West,2314,10742644
Kanpur,Kidwai Nagar,Flat,3359,3,3,11,East,4531,10766045
Gorakhpur,Rustampur,Flat,3193,4,4,14,East,3100,12937446
Lucknow,Hazratganj,House,2379,4,4,7,West,4242,14209434
Kanpur,Swaroop Nagar,Flat,4556,3,3,11,North,3847,14901990
Gorakhpur,Shahpur,Flat,1784,4,4,15,North,770,8846325
Gorakhpur,Shahpur,Flat,3787,3,3,17,North-East,2516,15159200
Kanpur,Swaroop Nagar,Flat,1776,1,1,18,North,710,7127270
Kanpur,Kidwai Nagar,Flat,3067,5,5,21,South,2822,11896165
Lucknow,Indira Nagar,Plot,4331,0,0,0,North-East,4893,17619731
Gorakhpur,Shahpur,Flat,1774,5,5,15,East,4415,7063511
Kanpur,Kidwai Nagar,Plot,3159,0,0,0,North-East,2567,11317614
Gorakhpur,Medical Road,Plot,4462,0,0,0,North,4813,13382439
Noida,Greater Noida,Flat,948,3,3,18,North,3180,7097635
Lucknow,Indira Nagar,Flat,3543,5,5,4,East,3733,18166211
Banaras,Sarnath,House,1933,2,2,18,West,1933,10163401
Kanpur,Swaroop Nagar,Flat,3950,1,1,7,North-East,4436,11690557
Banaras,Sarnath,Flat,4051,3,3,12,West,3409,19082969
Noida,Sector 62,House,2826,3,3,7,West,3101,19961713
Banaras,Sarnath,Flat,2961,1,1,22,South,3047,13641638
Gorakhpur,Medical Road,Plot,4807,0,0,0,South,401,20991690
Kanpur,Kidwai Nagar,Plot,3337,0,0,0,South,3022,11520071
Kanpur,Swaroop Nagar,Plot,2275,0,0,0,West,2457,8065514
Kanpur,Swaroop Nagar,Plot,1603,0,0,0,West,1247,6355521
Kanpur,Swaroop Nagar,Flat,1336,5,5,7,North,2598,6585501
Noida,Greater Noida,Flat,2256,4,4,19,East,4521,14371126
Lucknow,Indira Nagar,Plot,3743,0,0,0,West,194,23004572
Kanpur,Arya Nagar,Flat,2992,4,4,5,North,2904,11753539
Noida,Greater Noida,House,1988,3,3,19,East,3500,13897052
Gorakhpur,Rustampur,Flat,4633,3,3,14,South,3286,17181627
Noida,Sector 150,Flat,727,5,5,23,West,738,8574238
Banaras,Lanka,Flat,743,5,5,10,North-East,2875,6130134
Gorakhpur,Rustampur,Plot,4126,0,0,0,North-East,4811,12505679
Banaras,Sarnath,Plot,4657,0,0,0,North-East,2436,23047174
Noida,Sector 150,Flat,2047,2,2,1,East,1830,19287503
Kanpur,Arya Nagar,Plot,1131,0,0,0,North-East,3661,3628980
Banaras,Lanka,Flat,2876,3,3,2,South,3030,17720299
Noida,Sector 62,House,4587,3,3,8,West,3335,32008595
Gorakhpur,Rustampur,Flat,4463,2,2,16,South,3316,15713423
Kanpur,Swaroop Nagar,Plot,4291,0,0,0,East,4647,12140868
Gorakhpur,Shahpur,Flat,3476,5,5,7,West,2456,15393260
Kanpur,Swaroop Nagar,Plot,1958,0,0,0,North,1893,7334357
Lucknow,Gomti Nagar,Flat,2607,4,4,8,North-East,4149,15639158
Lucknow,Indira Nagar,Plot,3224,0,0,0,North,4293,14650094
Gorakhpur,Taramandal,Flat,4136,4,4,9,South,3929,19315712
Banaras,Lanka,House,4043,2,2,16,South,484,29340350
Noida,Greater Noida,Flat,4024,5,5,5,East,1901,32744374
Lucknow,Indira Nagar,Plot,929,0,0,0,West,2428,4852387
Gorakhpur,Shahpur,House,779,3,3,1,North-East,1615,4325698
Banaras,Sarnath,Plot,3062,0,0,0,North-East,1284,16575725
Kanpur,Kidwai Nagar,Flat,3215,1,1,9,North-East,1546,12570194
Noida,Sector 150,House,2111,2,2,6,West,2796,18316195
Kanpur,Swaroop Nagar,House,1670,1,1,17,East,1690,6304843
Noida,Greater Noida,Flat,1959,4,4,17,South,361,17392355
Banaras,Sigra,Flat,3906,3,3,9,West,2731,19756217
Noida,Sector 150,Flat,4424,5,5,6,North-East,1698,41686780
Banaras,Sarnath,Plot,1290,0,0,0,East,2250,6419887
Noida,Sector 150,Plot,2544,0,0,0,North-East,3981,18848008
Lucknow,Gomti Nagar,Flat,1485,4,4,24,North-East,1886,11166293
